dataset,role,variant,inference_mode,seed,seed_path,DONE_present,report_json_present,gpu_name,amp_dtype,val_metric,test_metric,failure_block_absent
sberbank-housing,baseline,baseline_plr_fp32,best-head,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/sberbank-housing/baseline_plr_fp32-best-head-evaluation/0,True,True,NVIDIA GeForce RTX 4090,fp32,0.23847116656373074,0.2438068244183523,True
sberbank-housing,selected,rla_plr_first_r4_basepreserve_fp32,best-head,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/sberbank-housing/rla_plr_first_r4_basepreserve_fp32-best-head-evaluation/0,True,True,NVIDIA GeForce RTX 4090,fp32,0.23610076529067006,0.23606834635970086,True
sberbank-housing,baseline,baseline_plr_fp32,best-head,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/sberbank-housing/baseline_plr_fp32-best-head-evaluation/1,True,True,NVIDIA GeForce RTX 4090,fp32,0.24100133151758943,0.23985751761767907,True
sberbank-housing,selected,rla_plr_first_r4_basepreserve_fp32,best-head,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/sberbank-housing/rla_plr_first_r4_basepreserve_fp32-best-head-evaluation/1,True,True,NVIDIA GeForce RTX 4090,fp32,0.23963823242346188,0.24689214864154102,True
sberbank-housing,baseline,baseline_plr_fp32,best-head,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/sberbank-housing/baseline_plr_fp32-best-head-evaluation/2,True,True,NVIDIA GeForce RTX 4090,fp32,0.23932673960065148,0.23729713647704545,True
sberbank-housing,selected,rla_plr_first_r4_basepreserve_fp32,best-head,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/sberbank-housing/rla_plr_first_r4_basepreserve_fp32-best-head-evaluation/2,True,True,NVIDIA GeForce RTX 4090,fp32,0.23851766739741453,0.2362671371455972,True
ecom-offers,baseline,baseline_plr,best-head,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/ecom-offers/baseline_plr-best-head-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6396333976576802,0.6015047655173966,True
ecom-offers,selected,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150,best-head,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/ecom-offers/rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150-best-head-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6460841090157122,0.6073292261680396,True
ecom-offers,baseline,baseline_plr,best-head,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/ecom-offers/baseline_plr-best-head-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6312673212235393,0.5961957327536331,True
ecom-offers,selected,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150,best-head,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/ecom-offers/rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150-best-head-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6428741358118808,0.6054408250972217,True
ecom-offers,baseline,baseline_plr,best-head,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/ecom-offers/baseline_plr-best-head-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6337543291496195,0.5976777301170179,True
ecom-offers,selected,rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150,best-head,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/ecom-offers/rla_ecom_sweep_k32_first_r2_bf16_n1e4_lr150-best-head-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.6327898730156404,0.5962208540322235,True
homesite-insurance,baseline,baseline_plr_fp32,best-head,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/homesite-insurance/baseline_plr_fp32-best-head-evaluation/0,True,True,NVIDIA GeForce RTX 4090,fp32,0.9561237188292702,0.9601580394462422,True
homesite-insurance,selected,rla_plr_uniform_r8_basepreserve_fp32,best-head,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/homesite-insurance/rla_plr_uniform_r8_basepreserve_fp32-best-head-evaluation/0,True,True,NVIDIA GeForce RTX 4090,fp32,0.9574085448783618,0.9612962175629324,True
homesite-insurance,baseline,baseline_plr_fp32,best-head,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/homesite-insurance/baseline_plr_fp32-best-head-evaluation/1,True,True,NVIDIA GeForce RTX 4090,fp32,0.9560479484343514,0.9597192879770525,True
homesite-insurance,selected,rla_plr_uniform_r8_basepreserve_fp32,best-head,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/homesite-insurance/rla_plr_uniform_r8_basepreserve_fp32-best-head-evaluation/1,True,True,NVIDIA GeForce RTX 4090,fp32,0.9572519398337698,0.9614912195582567,True
homesite-insurance,baseline,baseline_plr_fp32,best-head,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/homesite-insurance/baseline_plr_fp32-best-head-evaluation/2,True,True,NVIDIA GeForce RTX 4090,fp32,0.9557525511578969,0.9595476147007028,True
homesite-insurance,selected,rla_plr_uniform_r8_basepreserve_fp32,best-head,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/homesite-insurance/rla_plr_uniform_r8_basepreserve_fp32-best-head-evaluation/2,True,True,NVIDIA GeForce RTX 4090,fp32,0.9564673232390897,0.9603684811633946,True
cooking-time,baseline,baseline_plr_fp32,best-head,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/cooking-time/baseline_plr_fp32-best-head-evaluation/0,True,True,NVIDIA GeForce RTX 4090,fp32,0.4650844143314554,0.4820264207050886,True
cooking-time,selected,rla_plr_uniform_r8_basepreserve_fp32,best-head,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/cooking-time/rla_plr_uniform_r8_basepreserve_fp32-best-head-evaluation/0,True,True,NVIDIA GeForce RTX 4090,fp32,0.4647160362660526,0.4824715561710102,True
cooking-time,baseline,baseline_plr_fp32,best-head,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/cooking-time/baseline_plr_fp32-best-head-evaluation/1,True,True,NVIDIA GeForce RTX 4090,fp32,0.4645380730100621,0.4821536596541273,True
cooking-time,selected,rla_plr_uniform_r8_basepreserve_fp32,best-head,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/cooking-time/rla_plr_uniform_r8_basepreserve_fp32-best-head-evaluation/1,True,True,NVIDIA GeForce RTX 4090,fp32,0.46480792572716984,0.4820514445966654,True
cooking-time,baseline,baseline_plr_fp32,best-head,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/cooking-time/baseline_plr_fp32-best-head-evaluation/2,True,True,NVIDIA GeForce RTX 4090,fp32,0.465468923921479,0.48381919659187417,True
cooking-time,selected,rla_plr_uniform_r8_basepreserve_fp32,best-head,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/cooking-time/rla_plr_uniform_r8_basepreserve_fp32-best-head-evaluation/2,True,True,NVIDIA GeForce RTX 4090,fp32,0.4646026723483095,0.48229112281796116,True
delivery-eta,baseline,baseline_plr,greedy-heads,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/delivery-eta/baseline_plr-greedy-heads-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.5554068561735876,0.5505921059351219,True
delivery-eta,selected,rla_plr_first_r2_basepreserve,greedy-heads,0,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/delivery-eta/rla_plr_first_r2_basepreserve-greedy-heads-evaluation/0,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.5552728009564122,0.5506442826322961,True
delivery-eta,baseline,baseline_plr,greedy-heads,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/delivery-eta/baseline_plr-greedy-heads-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.5554878746635602,0.5523644277541108,True
delivery-eta,selected,rla_plr_first_r2_basepreserve,greedy-heads,1,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/delivery-eta/rla_plr_first_r2_basepreserve-greedy-heads-evaluation/1,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.5554811951092176,0.5515466876910811,True
delivery-eta,baseline,baseline_plr,greedy-heads,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/delivery-eta/baseline_plr-greedy-heads-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.5558401140641088,0.5507761907683337,True
delivery-eta,selected,rla_plr_first_r2_basepreserve,greedy-heads,2,/Users/abhipraychavan/Desktop/work/dl-project/DL_PROJECT/RLA/paper/exp/rla/delivery-eta/rla_plr_first_r2_basepreserve-greedy-heads-evaluation/2,True,True,NVIDIA GeForce RTX 4090,bfloat16,0.5555537538366772,0.5504207378133894,True
